1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1.906,1.31701,4.649,0.300007,2.216,3.87,0.556094,2.84469,2.38386,1.0822,5.60877,3.51144,4.81461,2.896,0.0740608,1.09402,1.10402,1.921,0.408001,6.53068,3.37579,7.6421,3.84535,5.59839,3.9413,2.78523,6.73504,1.55501,0,4.082,0.00583095,1.27301,2.374,4.403,6.89967,4.49429,2.15734,1.74626,6.78879,1.82163,7.65177
2.176,5.399,0.567,4.382,1.866,0.212002,3.88,2.88529,5.10137,3.63635,4.06023,4.7038,3.96151,1.186,4.008,5.176,2.978,6.003,4.49,6.48206,4.49934,6.66069,4.20811,6.89036,4.29313,4.31899,7.22998,5.637,4.082,0,4.079,5.355,1.708,0.321006,7.46279,2.54558,4.72238,4.46772,7.78988,5.79445,5.85084
1.903,1.32,4.646,0.303015,2.213,3.867,0.559379,2.84611,2.38934,1.08491,5.61031,3.51558,4.81672,2.893,0.0710282,1.097,1.101,1.924,0.411019,6.53443,3.37973,7.64498,3.84853,5.60335,3.94453,2.7893,6.73943,1.558,0.00583095,4.079,0,1.276,2.371,4.4,6.90416,4.49461,2.1625,1.75131,6.79368,1.82641,7.65357
3.179,0.0440114,5.922,0.973005,3.489,5.143,1.59159,3.85461,2.48617,2.05899,6.5565,4.01605,5.6897,4.169,1.347,0.179003,2.377,0.648001,0.865009,7.05192,3.93547,8.34667,4.55294,5.76078,4.6352,3.34739,7.07762,0.282002,1.27301,5.355,1.276,0,3.647,5.676,7.2092,5.59648,2.44759,2.14734,6.95883,0.840952,8.54466
0.468001,3.691,2.275,2.674,0.158003,1.496,2.19803,2.04413,3.66942,2.03177,4.32518,3.73924,3.84477,0.522,2.3,3.468,1.27001,4.295,2.782,6.18422,3.53499,6.79722,3.52715,6.05697,3.62961,3.16975,6.73384,3.929,2.374,1.708,2.371,3.647,0,2.029,6.94793,2.85877,3.29672,2.97233,7.10915,4.10641,6.35364
2.497,5.72,0.246008,4.703,2.187,0.533001,4.19872,3.12478,5.38943,3.94813,4.09109,4.93178,4.06605,1.507,4.329,5.497,3.299,6.324,4.811,6.58821,4.72923,6.6858,4.40052,7.08384,4.48173,4.57539,7.3658,5.958,4.403,0.321006,4.4,5.676,2.029,0,7.60058,2.61233,5.01101,4.76555,7.9542,6.1132,5.80996
6.87326,7.22446,7.71044,6.9537,6.91862,7.38019,6.36763,4.90408,4.72319,5.91608,3.95224,3.41646,3.57255,7.06586,6.89175,7.15444,6.8252,7.44258,6.97453,1.24611,3.58323,2.71514,3.42089,1.56941,3.31832,4.1394,0.239201,7.30596,6.89967,7.46279,6.90416,7.2092,6.94793,7.60058,0,5.06151,4.80997,5.1871,0.797768,6.65947,4.10426
3.10616,5.63624,2.68509,4.74678,2.93572,2.52534,4.02733,1.78319,4.1758,3.53749,1.54271,3.01438,1.4893,2.65287,4.43491,5.43778,3.63724,6.18134,4.83811,3.99342,2.85573,4.13319,2.2435,4.77981,2.28672,3.02007,4.82333,5.84999,4.49429,2.54558,4.49461,5.59648,2.85877,2.61233,5.06151,0,3.8593,3.8308,5.49639,5.67346,3.50463
2.95782,2.4695,5.2333,2.1635,3.17819,4.53524,1.68776,2.13786,0.379301,1.40875,4.42471,1.58129,3.49041,3.70737,2.16571,2.36945,2.4827,2.81079,2.17416,4.60458,1.52806,5.94154,2.22536,3.44902,2.29079,0.987689,4.66353,2.59323,2.15734,4.72238,2.1625,2.44759,3.29672,5.01101,4.80997,3.8593,0,0.417809,4.64516,2.09505,6.28763
2.6077,2.17391,4.9945,1.76873,2.84544,4.27382,1.26996,2.05999,0.728303,1.01556,4.53693,1.87775,3.62558,3.40837,1.75209,2.04978,2.08697,2.57651,1.78743,4.92506,1.78864,6.20065,2.42184,3.8532,2.49919,1.20078,5.03359,2.32274,1.74626,4.46772,1.75131,2.14734,2.97233,4.76555,5.1871,3.8308,0.417809,0,5.04605,1.92023,6.46045
6.98298,6.9696,8.08353,6.80866,7.0627,7.68882,6.28003,5.0874,4.49859,5.86919,4.53481,3.42567,4.02838,7.2818,6.78941,6.92271,6.84287,7.12825,6.81732,1.96129,3.61599,3.50948,3.62091,1.20097,3.52589,4.1149,0.953843,7.0271,6.78879,7.78988,6.79368,6.95883,7.10915,7.9542,0.797768,5.49639,4.64516,5.04605,0,6.34259,4.87184
3.64687,0.822271,6.35722,1.55316,3.95092,5.58438,1.91448,3.89142,2.01063,2.23758,6.45693,3.66251,5.54426,4.6208,1.89068,0.938651,2.86747,0.785866,1.45865,6.62556,3.62217,8.02595,4.31316,5.15812,4.38238,3.07383,6.54719,0.753077,1.82163,5.79445,1.82641,0.840952,4.10641,6.1132,6.65947,5.67346,2.09505,1.92023,6.34259,0,8.36982
6.56154,8.5778,5.78697,7.85336,6.42018,5.88957,7.1189,4.81827,6.4589,6.58697,2.06626,4.8018,2.85594,6.15449,7.60569,8.41437,6.98221,9.03198,7.9262,2.92886,4.79002,1.53492,4.06252,4.95812,4.00106,5.30066,3.91918,8.75512,7.65177,5.85084,7.65357,8.54466,6.35364,5.80996,4.10426,3.50463,6.28763,6.46045,4.87184,8.36982,0
